competition,year,topic,name,pages,size,converted,path,sha256
MathorCup,第三届（年份待核实）,A题,1242c（Word转PDF）.pdf,26,790126,True,6-1优秀论文库/MathorCup/第三届（年份待核实）/A题/1242c（Word转PDF）.pdf,7d0798485320f619a6f80bb773363452ddb47381247de9d7cf5007bd9a502ed2
MathorCup,第三届（年份待核实）,A题,1259 c.pdf,23,752350,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/A题/1259 c.pdf,35a1e90c6005d1c0e3f376ec4ab471d2d323fab96b2ba0fc4c949c408906e7c7
MathorCup,第三届（年份待核实）,C题,1209c.pdf,26,1704308,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/C题/1209c.pdf,e2f98ccc1b77e2c72a9f02205f4207e4bcdf62172665683901c95e4435b6abdf
MathorCup,第三届（年份待核实）,B题,1132c（Word转PDF）.pdf,51,1558108,True,6-1优秀论文库/MathorCup/第三届（年份待核实）/B题/1132c（Word转PDF）.pdf,f999ce0930c4cc69c6ec050b2a602ad2203c1c3eb7703951f36c63383f0510d1
MathorCup,第三届（年份待核实）,C题,1190c.pdf,51,3255028,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/C题/1190c.pdf,53aee1a50e1349fd77434c4ff8838faebf11f7e35a9ca2e5b246a0be2b544690
MathorCup,第三届（年份待核实）,B题,1253c.pdf,34,473712,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/B题/1253c.pdf,14ae19bcf5fcbf4839435c605549b6101fb6c86d4e9c72287d6d99e66d1d8994
MathorCup,第三届（年份待核实）,B题,1138c.pdf,53,1161019,False,6-1优秀论文库/MathorCup/第三届（年份待核实）/B题/1138c.pdf,c413dfb1595a1be3cf4605d8ef2003841f016f1f618b5b860b5f67c2d27760eb
MathorCup,第五届（年份待核实）,A题,一等奖A题_中国石油大学（北京）_文豪_徐建平.pdf,44,1337077,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/A题/一等奖A题_中国石油大学（北京）_文豪_徐建平.pdf,e9c518afb3e49998c299c28d3aa1da13274999241e7455e704d5509728e5fbe8
MathorCup,第五届（年份待核实）,综合,1431651550694897.pdf,1,97206,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/综合/1431651550694897.pdf,22436a02e2d128d2e0dcbf7ea38eed2b5bcb10ba11deb049b441d0137a665368
MathorCup,第五届（年份待核实）,综合,1431651551376783.pdf,3,280313,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/综合/1431651551376783.pdf,257d44dcef260aaf7eb29b3d0397f3d589ed787d3611528230e98c9cc4a03464
MathorCup,第五届（年份待核实）,A题,一等奖A题_安徽财经大学_李东玲_杜文好_张杰.pdf,30,824993,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/A题/一等奖A题_安徽财经大学_李东玲_杜文好_张杰.pdf,a596a9ac3269cdc249699e20f65ddb29dae6500836e7d33e36f548f647a4f26d
MathorCup,第五届（年份待核实）,A题,特等奖A题_南昌大学_顾秀秀_高军_刘文锋.pdf,52,1594383,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/A题/特等奖A题_南昌大学_顾秀秀_高军_刘文锋.pdf,54791471a2d222de0012d546f5e8cf03f69fe4f6b6307c87b3c20f6cd5c0f39d
MathorCup,第五届（年份待核实）,C题,一等奖C题_西北工业大学_肖茂超_杨晓建_闫辰毓.pdf,24,1307192,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/C题/一等奖C题_西北工业大学_肖茂超_杨晓建_闫辰毓.pdf,aa69f7c3004f33be8c7ccbc27e143451b60c3898615e47ee429f7833d101afbc
MathorCup,第五届（年份待核实）,D题,一等奖D题_山东科技大学_李倩_孔令波_李晓杭.pdf,53,1816125,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/D题/一等奖D题_山东科技大学_李倩_孔令波_李晓杭.pdf,4e194ab29d09204d143ce56885dc09981af17a3f1673a01045ce76d1e5fecadf
MathorCup,第五届（年份待核实）,综合,1431651550203430.pdf,1,61087,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/综合/1431651550203430.pdf,afd51e78edf220b3307ca5dd52f3fc0b123b30e58c0f2d919a826fd2686e3c92
MathorCup,第五届（年份待核实）,D题,特等奖D题_中国矿业大学（北京）_蒋书棋_李晨光_王畅.pdf,23,1204064,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/D题/特等奖D题_中国矿业大学（北京）_蒋书棋_李晨光_王畅.pdf,5a53c5125102dd60786bdcd6cee917cbc2a802ff29e055969538a571d84afa3d
MathorCup,第五届（年份待核实）,A题,一等奖A题_山东理工大学_刘继国_宋向宇_苏利娟.pdf,43,1971249,False,6-1优秀论文库/MathorCup/第五届（年份待核实）/A题/一等奖A题_山东理工大学_刘继国_宋向宇_苏利娟.pdf,42eca0f7c373df29b29431ffd46297cd855fb48b27518c85a795412863292ca4
